--- When using SR data, please cite us and provide a link and/or a mention.


 
Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
128,Thursday Aug 22,boxscore,HOU,,PIT,L,6,8,,68-60,1,up 0.5,Wilkins,Wagner,Ericks,3:20,N,14899,2.22,--,
129,Friday Aug 23,boxscore,HOU,,STL,L,0,1,,68-61,2,0.5,Osborne,Kile,Eckersley,2:56,N,35554,3.21,---,
130,Saturday Aug 24,boxscore,HOU,,STL,W-wo,3,1,,69-61,1,up 0.5,Reynolds,Stottlemyre,,2:42,D,43258,3.32,+,
131,Sunday Aug 25,boxscore,HOU,,STL,W,4,1,,70-61,1,up 1.5,Wall,Benes,Hernandez,2:47,N,31609,3.52,++,
132,Monday Aug 26,boxscore,HOU,,STL,L,2,3,,70-62,1,up 0.5,Benes,Hampton,Eckersley,3:07,N,21624,3.48,-,
133,Tuesday Aug 27,boxscore,HOU,,CHC,W,6,5,,71-62,1,up 1.5,Morman,Adams,Hernandez,2:40,N,15374,2.73,+,
134,Wednesday Aug 28,boxscore,HOU,,CHC,W-wo,5,4,,72-62,1,up 2.5,Olson,Bottenfield,,3:10,N,18026,2.62,++,
135,Thursday Aug 29,boxscore,HOU,,CHC,L,3,4,,72-63,1,up 2.5,Navarro,Reynolds,Wendell,2:53,D,16151,2.33,-,
136,Friday Aug 30,boxscore,HOU,@,PIT,W,10,0,,73-63,1,up 2.5,Wall,Peters,,2:44,N,24619,2.33,+,
137,Saturday Aug 31,boxscore,HOU,@,PIT,W,5,4,,74-63,1,up 2.5,Hernandez,Ericks,Hudek,3:22,D,27559,2.16,++,
138,Sunday Sep 1,boxscore,HOU,@,PIT,L,5,9,,74-64,1,up 1.5,Wainhouse,Darwin,,2:41,D,14144,2.10,-,
139,Monday Sep 2,boxscore,HOU,@,STL,L-wo,7,8,10,74-65,1,up 0.5,Benes,Brocail,,4:01,D,32955,3.80,--,
140,Tuesday Sep 3,boxscore,HOU,@,STL,L,3,12,,74-66,2,0.5,Stottlemyre,Reynolds,,2:51,N,23955,4.42,---,
141,Wednesday Sep 4,boxscore,HOU,@,STL,L,4,6,,74-67,2,1.5,Benes,Wall,Eckersley,2:45,N,34891,4.58,----,
142,Friday Sep 6,boxscore,HOU,,COL,W,2,1,,75-67,2,1.5,Hernandez,Leskanic,,2:48,N,20932,2.67,+,
143,Saturday Sep 7,boxscore,HOU,,COL,W,5,4,,76-67,2,1.5,Kile,Holmes,Hudek,2:55,D,37213,2.78,++,
144,Sunday Sep 8,boxscore,HOU,,COL,L,2,5,,76-68,2,1.5,Reed,Reynolds,Ruffin,2:54,D,31316,2.81,-,
145,Monday Sep 9,boxscore,HOU,,COL,L,2,4,,76-69,2,2.5,Ritz,Wall,Ruffin,2:45,N,13833,2.89,--,
146,Tuesday Sep 10,boxscore,HOU,,PHI,W,4,3,,77-69,2,2.5,Morman,Schilling,Hernandez,2:25,N,12700,2.39,+,
147,Wednesday Sep 11,boxscore,HOU,,PHI,L,8,10,,77-70,2,2.5,Parrett,Holt,Bottalico,3:57,N,17300,2.48,-,
148,Thursday Sep 12,boxscore,HOU,,PHI,W,4,1,,78-70,2,1.5,Kile,Williams,,2:12,D,16103,2.22,+,
149,Friday Sep 13,boxscore,HOU,@,COL,L,3,6,,78-71,2,2.5,Holmes,Hernandez,Ruffin,2:34,N,48049,2.95,-,
150,Saturday Sep 14,boxscore,HOU,@,COL,L,3,7,,78-72,2,2.5,Ritz,Wall,,2:47,D,48132,2.23,--,
151,Sunday Sep 15,boxscore,HOU,@,COL,L,4,11,,78-73,2,2.5,Thompson,Drabek,,2:56,D,48038,2.12,---,
152,Tuesday Sep 17,boxscore,HOU,@,ATL,L,4,5,,78-74,2,3.5,Smoltz,Kile,Wohlers,2:54,N,32109,2.10,----,
153,Wednesday Sep 18,boxscore,HOU,@,ATL,L,2,6,,78-75,2,4.5,Maddux,Hampton,,2:01,D,29885,1.27,-----,
154,Friday Sep 20,boxscore,HOU,@,FLA,L,1,3,,78-76,2,5.0,Brown,Reynolds,Nen,2:56,N,21518,.30,------,
155,Saturday Sep 21,boxscore,HOU,@,FLA,L-wo,1,2,,78-77,2,5.5,Heredia,Wagner,,2:31,N,31023,.24,-------,
156,Sunday Sep 22,boxscore,HOU,@,FLA,L,0,6,,78-78,2,5.0,Helling,Kile,,2:33,D,17461,.09,--------,
157,Tuesday Sep 24,boxscore,HOU,,NYM,L,0,4,,78-79,2,6.5,Jones,Wall,,2:12,N,39511,.02,---------,
158,Wednesday Sep 25,boxscore,HOU,,NYM,W-wo,5,4,10,79-79,2,6.5,Hudek,Wallace,,3:15,N,15760,.00,+,
159,Thursday Sep 26,boxscore,HOU,,NYM,W,6,2,,80-79,2,6.0,Drabek,Trlicek,,3:00,D,13751,.00,++,
160,Friday Sep 27,boxscore,HOU,,FLA,L,2,3,,80-80,2,7.0,Hutton,Kile,Nen,2:33,N,21725,.00,-,
161,Saturday Sep 28,boxscore,HOU,,FLA,W,5,1,,81-80,2,7.0,Darwin,Heredia,,3:19,N,21832,.00,+,
162,Sunday Sep 29,boxscore,HOU,,FLA,W-wo,5,4,10,82-80,2,6.0,Hudek,Hammond,,3:13,D,42658,.00,++,
