--- When using SR data, please cite us and provide a link and/or a mention.


 
Rk,Wk,Date,Time,Day,Winner,Pts,,Loser,Pts,Notes
160,3,Sep 10 2016,4:00 PM,Sat,Vanderbilt,47,,Middle Tennessee State,24,Vanderbilt Stadium - Nashville Tennessee
161,3,Sep 10 2016,3:30 PM,Sat,Wake Forest,24,@,Duke,14,Wallace Wade Stadium - Durham North Carolina
162,3,Sep 10 2016,5:00 PM,Sat,(8) Washington,59,,Idaho,14,Husky Stadium - Seattle Washington
163,3,Sep 10 2016,2:00 PM,Sat,West Virginia,38,,Youngstown State,21,Milan Puskar Stadium - Morgantown West Virginia
164,3,Sep 10 2016,7:00 PM,Sat,Western Michigan,70,,North Carolina Central,21,Waldo Stadium - Kalamazoo Michigan
165,3,Sep 10 2016,3:30 PM,Sat,(10) Wisconsin,54,,Akron,10,Camp Randall Stadium - Madison Wisconsin
166,4,Sep 15 2016,7:30 PM,Thu,(6) Houston,40,@,Cincinnati,16,Nippert Stadium - Cincinnati Ohio
167,4,Sep 16 2016,9:30 PM,Fri,Arizona State,32,@,Texas-San Antonio,28,Alamodome - San Antonio Texas
168,4,Sep 16 2016,8:00 PM,Fri,(21) Baylor,38,@,Rice,10,Rice Stadium - Houston Texas
169,4,Sep 16 2016,9:00 PM,Fri,Utah State,34,,Arkansas State,20,Merlin Olsen Field at Maverik Stadium - Logan Utah
170,4,Sep 17 2016,12:00 PM,Sat,Akron,65,@,Marshall,38,Joan C. Edwards Stadium - Huntington West Virginia
171,4,Sep 17 2016,3:30 PM,Sat,(1) Alabama,48,@,(19) Mississippi,43,Vaught-Hemingway Stadium - Oxford Mississippi
172,4,Sep 17 2016,10:45 PM,Sat,Arizona,47,,Hawaii,28,Arizona Stadium - Tucson Arizona
173,4,Sep 17 2016,7:30 PM,Sat,(24) Arkansas,42,,Texas State,3,Donald W. Reynolds Razorback Stadium - Fayetteville Arkansas
174,4,Sep 17 2016,,Sat,Army,66,@,Texas-El Paso,14,Sun Bowl Stadium - El Paso Texas
175,4,Sep 17 2016,3:00 PM,Sat,Ball State,41,,Eastern Kentucky,14,Scheumann Stadium - Muncie Indiana
176,4,Sep 17 2016,10:30 PM,Sat,California,50,,(11) Texas,43,Memorial Stadium - Berkeley California
177,4,Sep 17 2016,3:00 PM,Sat,Central Michigan,44,,Nevada-Las Vegas,21,Kelly/Shorts Stadium - Mount Pleasant Michigan
178,4,Sep 17 2016,12:00 PM,Sat,(5) Clemson,59,,South Carolina State,0,Clemson Memorial Stadium - Clemson South Carolina
179,4,Sep 17 2016,4:00 PM,Sat,Colorado State,47,,Northern Colorado,21,Sonny Lubick Field at Hughes Stadium - Fort Collins Colorado
180,4,Sep 17 2016,1:30 PM,Sat,Connecticut,13,,Virginia,10,Rentschler Field - East Hartford Connecticut
