--- When using SR data, please cite us and provide a link and/or a mention.


 
Rk,Wk,Date,Day,Winner,Pts,,Loser,Pts,Notes
291,7,Oct 10 1998,Sat,Idaho,52,@,Arkansas State,14,
292,7,Oct 10 1998,Sat,Iowa,26,,Northwestern,24,
293,7,Oct 10 1998,Sat,(5) Kansas State,16,@,(14) Colorado,9,
294,7,Oct 10 1998,Sat,Kentucky,33,,South Carolina,28,
295,7,Oct 10 1998,Sat,Louisiana Tech,44,@,Louisiana-Monroe,14,
296,7,Oct 10 1998,Sat,Marshall,30,@,Ohio,23,
297,7,Oct 10 1998,Sat,Miami (OH),24,,Bowling Green,12,
298,7,Oct 10 1998,Sat,Michigan State,38,,Indiana,31,
299,7,Oct 10 1998,Sat,Mississippi State,38,,Auburn,21,
300,7,Oct 10 1998,Sat,(21) Missouri,35,@,Iowa State,19,
301,7,Oct 10 1998,Sat,New Mexico State,48,@,Nevada,45,
302,7,Oct 10 1998,Sat,North Carolina,29,,Pittsburgh,10,
303,7,Oct 10 1998,Sat,North Texas,21,@,Boise State,13,
304,7,Oct 10 1998,Sat,(22) Notre Dame,28,@,Arizona State,9,
305,7,Oct 10 1998,Sat,(1) Ohio State,41,@,Illinois,0,
306,7,Oct 10 1998,Sat,(15) Oregon,51,@,Washington State,29,
307,7,Oct 10 1998,Sat,Oregon State,30,@,Stanford,23,
308,7,Oct 10 1998,Sat,(13) Penn State,27,@,Minnesota,17,
309,7,Oct 10 1998,Sat,San Jose State,20,,Rice,17,
310,7,Oct 10 1998,Sat,Southern Mississippi,56,,Louisville,21,
311,7,Oct 10 1998,Sat,(24) Syracuse,63,,Cincinnati,21,
312,7,Oct 10 1998,Sat,(4) Tennessee,22,@,(7) Georgia,3,
313,7,Oct 10 1998,Sat,Texas,34,N,Oklahoma,3,
314,7,Oct 10 1998,Sat,(18) Texas A&M,28,,(2) Nebraska,21,
315,7,Oct 10 1998,Sat,Texas Christian,21,,Fresno State,10,
316,7,Oct 10 1998,Sat,Texas Tech,24,,Oklahoma State,17,
317,7,Oct 10 1998,Sat,Texas-El Paso,22,@,New Mexico,19,
318,7,Oct 10 1998,Sat,Toledo,27,,Ball State,6,
319,7,Oct 10 1998,Sat,(3) UCLA,52,@,(10) Arizona,28,
320,7,Oct 10 1998,Sat,Washington,53,,Utah State,12,
321,7,Oct 10 1998,Sat,(16) West Virginia,37,@,Temple,7,
322,7,Oct 10 1998,Sat,Western Michigan,27,@,Vanderbilt,24,
323,7,Oct 10 1998,Sat,(12) Wisconsin,31,,Purdue,24,
324,7,Oct 10 1998,Sat,Wyoming,12,,Southern Methodist,7,
325,8,Oct 17 1998,Sat,Alabama,23,,East Carolina,22,
326,8,Oct 17 1998,Sat,(16) Arizona,28,@,Oregon State,7,
327,8,Oct 17 1998,Sat,(17) Arkansas,41,@,South Carolina,28,
328,8,Oct 17 1998,Sat,Boise State,24,,Weber State,13,
329,8,Oct 17 1998,Sat,Brigham Young,31,@,Hawaii,9,
330,8,Oct 17 1998,Sat,(19) Colorado,19,,(22) Texas Tech,17,
331,8,Oct 17 1998,Sat,Colorado State,47,@,New Mexico State,28,
332,8,Oct 17 1998,Sat,(5) Florida,24,,Auburn,3,
333,8,Oct 17 1998,Sat,(6) Florida State,48,,Clemson,0,
334,8,Oct 17 1998,Sat,(13) Georgia,31,,Vanderbilt,6,
335,8,Oct 17 1998,Sat,(25) Georgia Tech,41,,(7) Virginia,38,
336,8,Oct 17 1998,Sat,Idaho,26,@,Utah State,14,
337,8,Oct 17 1998,Sat,Indiana,14,,Iowa,7,
338,8,Oct 17 1998,Sat,(4) Kansas State,52,,Oklahoma State,20,
339,8,Oct 17 1998,Sat,Kentucky,39,@,(21) Louisiana State,36,
340,8,Oct 17 1998,Sat,Louisiana,21,,Arkansas State,19,
341,8,Oct 17 1998,Sat,Louisiana Tech,54,,Alabama-Birmingham,23,
342,8,Oct 17 1998,Sat,Marshall,42,,Kent State,7,
343,8,Oct 17 1998,Sat,Memphis,41,,Cincinnati,23,
344,8,Oct 17 1998,Sat,Miami (OH),28,@,Ball State,17,
345,8,Oct 17 1998,Sat,Michigan,12,@,Northwestern,6,
346,8,Oct 17 1998,Sat,Mississippi State,53,,East Tennessee State,6,
347,8,Oct 17 1998,Sat,(20) Missouri,20,,Oklahoma,6,
348,8,Oct 17 1998,Sat,Navy,42,,Colgate,35,
349,8,Oct 17 1998,Sat,(8) Nebraska,41,,Kansas,0,
350,8,Oct 17 1998,Sat,North Carolina State,27,,Duke,24,
351,8,Oct 17 1998,Sat,North Texas,27,,Nevada,21,
352,8,Oct 17 1998,Sat,Northern Illinois,16,,Central Michigan,6,
353,8,Oct 17 1998,Sat,Ohio,28,,Akron,14,
354,8,Oct 17 1998,Sat,(1) Ohio State,45,,Minnesota,15,
355,8,Oct 17 1998,Sat,(12) Penn State,31,,Purdue,13,
356,8,Oct 17 1998,Sat,Rice,14,,Tulsa,10,
357,8,Oct 17 1998,Sat,Rutgers,25,@,Pittsburgh,21,
358,8,Oct 17 1998,Sat,San Diego State,36,@,New Mexico,33,
359,8,Oct 17 1998,Sat,Southern California,42,@,Washington State,14,
360,8,Oct 17 1998,Sat,Southern Methodist,10,,Texas Christian,6,
361,8,Oct 17 1998,Sat,Southern Mississippi,37,@,Army,13,
362,8,Oct 17 1998,Sat,(23) Syracuse,42,@,Boston College,25,
363,8,Oct 17 1998,Sat,Temple,28,@,(14) Virginia Tech,24,
364,8,Oct 17 1998,Sat,(10) Texas A&M,35,@,Baylor,14,
365,8,Oct 17 1998,Sat,Texas-El Paso,28,,San Jose State,21,
366,8,Oct 17 1998,Sat,Toledo,24,,Bowling Green,16,
367,8,Oct 17 1998,Sat,(24) Tulane,28,,Louisville,22,
368,8,Oct 17 1998,Sat,(2) UCLA,41,,(11) Oregon,38,
369,8,Oct 17 1998,Sat,Utah,24,,Fresno State,16,
370,8,Oct 17 1998,Sat,Wake Forest,20,@,Maryland,10,
371,8,Oct 17 1998,Sat,Washington,21,,California,13,
372,8,Oct 17 1998,Sat,Western Michigan,45,,Eastern Michigan,35,
373,8,Oct 17 1998,Sat,(9) Wisconsin,37,@,Illinois,3,
