Date,Season,Type,Round,Team,Opp,HomeAway,PointsFor,PointsAgainst,OT,TeamAPRank,OppAPRank
2007-09-08,2007,R,,michigan,oregon,H,7,39,0,,
2007-09-08,2007,R,,penn-state,notre-dame,H,31,10,0,14.0,
2007-09-08,2007,R,,notre-dame,penn-state,A,10,31,0,,14.0
2007-09-08,2007,R,,pittsburgh,grambling-state,H,34,10,0,,
2007-09-08,2007,R,,grambling-state,pittsburgh,A,10,34,0,,
2007-09-08,2007,R,,purdue,eastern-illinois,H,52,6,0,,
2007-09-08,2007,R,,eastern-illinois,purdue,A,6,52,0,,
2007-09-08,2007,R,,south-carolina,georgia,A,16,12,0,,11.0
2007-09-08,2007,R,,georgia,south-carolina,H,12,16,0,11.0,
2007-09-08,2007,R,,south-florida,auburn,A,26,23,0,,17.0
2007-09-08,2007,R,,auburn,south-florida,H,23,26,0,17.0,
2007-09-08,2007,R,,southern-illinois,northern-illinois,A,34,31,0,,
2007-09-08,2007,R,,northern-illinois,southern-illinois,H,31,34,0,,
2007-09-08,2007,R,,southern-methodist,north-texas,H,45,31,0,,
2007-09-08,2007,R,,north-texas,southern-methodist,A,31,45,0,,
2007-09-08,2007,R,,tennessee,southern-mississippi,H,39,19,0,24.0,
2007-09-08,2007,R,,southern-mississippi,tennessee,A,19,39,0,,24.0
2007-09-08,2007,R,,texas,texas-christian,H,34,13,0,7.0,19.0
2007-09-08,2007,R,,texas-christian,texas,A,13,34,0,19.0,7.0
2007-09-08,2007,R,,texas-a-m,fresno-state,H,47,45,0,23.0,
2007-09-08,2007,R,,fresno-state,texas-a-m,A,45,47,0,,23.0
2007-09-08,2007,R,,texas-tech,texas-el-paso,H,45,31,0,,
2007-09-08,2007,R,,texas-el-paso,texas-tech,A,31,45,0,,
2007-09-08,2007,R,,ucla,brigham-young,H,27,17,0,13.0,
2007-09-08,2007,R,,brigham-young,ucla,A,17,27,0,,13.0
2007-09-08,2007,R,,virginia,duke,H,24,13,0,,
2007-09-08,2007,R,,duke,virginia,A,13,24,0,,
2007-09-08,2007,R,,washington,boise-state,H,24,10,0,,22.0
2007-09-08,2007,R,,boise-state,washington,A,10,24,0,22.0,
2007-09-08,2007,R,,washington-state,san-diego-state,H,45,17,0,,
2007-09-08,2007,R,,san-diego-state,washington-state,A,17,45,0,,
2007-09-08,2007,R,,west-virginia,marshall,A,48,23,0,3.0,
2007-09-08,2007,R,,marshall,west-virginia,H,23,48,0,,3.0
2007-09-08,2007,R,,western-kentucky,west-virginia-tech,H,87,0,0,,
2007-09-08,2007,R,,west-virginia-tech,western-kentucky,A,0,87,0,,
2007-09-08,2007,R,,wisconsin,nevada-las-vegas,A,20,13,0,5.0,
2007-09-08,2007,R,,nevada-las-vegas,wisconsin,H,13,20,0,,5.0
2007-09-08,2007,R,,wyoming,utah-state,H,32,18,0,,
2007-09-08,2007,R,,utah-state,wyoming,A,18,32,0,,
2007-09-13,2007,R,,air-force,texas-christian,H,20,17,0,,
2007-09-13,2007,R,,texas-christian,air-force,A,17,20,0,,
2007-09-13,2007,R,,west-virginia,maryland,A,31,14,0,4.0,
2007-09-13,2007,R,,maryland,west-virginia,H,14,31,0,,4.0
2007-09-14,2007,R,,troy,oklahoma-state,H,41,23,0,,
2007-09-14,2007,R,,oklahoma-state,troy,A,23,41,0,,
2007-09-15,2007,R,,alabama,arkansas,H,41,38,0,,16.0
2007-09-15,2007,R,,arkansas,alabama,A,38,41,0,16.0,
2007-09-15,2007,R,,alabama-birmingham,alcorn-state,H,22,0,0,,
2007-09-15,2007,R,,alcorn-state,alabama-birmingham,A,0,22,0,,
2007-09-15,2007,R,,arizona-state,san-diego-state,H,34,13,0,,
2007-09-15,2007,R,,san-diego-state,arizona-state,A,13,34,0,,
2007-09-15,2007,R,,arkansas-state,southern-methodist,H,45,28,0,,
2007-09-15,2007,R,,southern-methodist,arkansas-state,A,28,45,0,,
2007-09-15,2007,R,,ball-state,navy,A,34,31,0,,
2007-09-15,2007,R,,navy,ball-state,H,31,34,0,,
2007-09-15,2007,R,,baylor,texas-state,H,34,27,0,,
2007-09-15,2007,R,,texas-state,baylor,A,27,34,0,,
2007-09-15,2007,R,,boise-state,wyoming,H,24,14,0,,
2007-09-15,2007,R,,wyoming,boise-state,A,14,24,0,,
2007-09-15,2007,R,,boston-college,georgia-tech,A,24,10,0,21.0,15.0
2007-09-15,2007,R,,georgia-tech,boston-college,H,10,24,0,15.0,21.0
2007-09-15,2007,R,,california,louisiana-tech,H,42,12,0,8.0,
2007-09-15,2007,R,,louisiana-tech,california,A,12,42,0,,8.0
2007-09-15,2007,R,,cincinnati,miami-oh,A,47,10,0,,
2007-09-15,2007,R,,miami-oh,cincinnati,H,10,47,0,,
2007-09-15,2007,R,,clemson,furman,H,38,10,0,20.0,
2007-09-15,2007,R,,furman,clemson,A,10,38,0,,20.0
2007-09-15,2007,R,,connecticut,temple,H,22,17,0,,
2007-09-15,2007,R,,temple,connecticut,A,17,22,0,,
2007-09-15,2007,R,,duke,northwestern,A,20,14,0,,
2007-09-15,2007,R,,northwestern,duke,H,14,20,0,,
2007-09-15,2007,R,,eastern-michigan,northern-illinois,A,21,19,0,,
2007-09-15,2007,R,,northern-illinois,eastern-michigan,H,19,21,0,,
2007-09-15,2007,R,,florida,tennessee,H,59,20,0,5.0,22.0
