source_file,window_title,team_name,dest
sportsref_download (19).xls,1995-96 Rice Owls Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Rice,Rice.xls
sportsref_download (19).xls,1995-96 North Texas Mean Green Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,North Texas Mean,North_Texas_Mean.xls
sportsref_download (19).xls,1995-96 UMBC Retrievers Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,UMBC,UMBC.xls
sportsref_download (19).xls,1995-96 Rider Broncs Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Rider,Rider.xls
sportsref_download (19).xls,1995-96 Monmouth Hawks Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Monmouth,Monmouth.xls
sportsref_download (19).xls,1995-96 Fairfield Stags Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Fairfield,Fairfield.xls
sportsref_download (19).xls,1995-96 Hartford Hawks Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Hartford,Hartford.xls
sportsref_download (19).xls,1995-96 Hofstra Pride Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Hofstra,Hofstra.xls
sportsref_download (19).xls,1995-96 Texas State Bobcats Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Texas State,Texas_State.xls
sportsref_download (19).xls,1995-96 San Francisco Dons Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,San Francisco,San_Francisco.xls
sportsref_download (19).xls,1995-96 Appalachian State Mountaineers Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Appalachian State,Appalachian_State.xls
sportsref_download (19).xls,1995-96 Arkansas State Red Wolves Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Arkansas State Red,Arkansas_State_Red.xls
sportsref_download (19).xls,1995-96 Army Black Knights Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Army Black,Army_Black.xls
sportsref_download (19).xls,1995-96 Ball State Cardinals Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Ball State,Ball_State.xls
sportsref_download (19).xls,1995-96 Baylor Bears Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Baylor,Baylor.xls
sportsref_download (19).xls,1995-96 Bethune-Cookman Wildcats Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Bethune-Cookman,Bethune-Cookman.xls
sportsref_download (19).xls,1995-96 Boise State Broncos Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Boise State,Boise_State.xls
sportsref_download (19).xls,1995-96 Boise State Broncos Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Boise State,Boise_State_dup1785041304.xls
sportsref_download (19).xls,1995-96 BYU Cougars Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,BYU,BYU.xls
sportsref_download (19).xls,1995-96 Cal Poly Mustangs Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Cal Poly,Cal_Poly.xls
sportsref_download (19).xls,1995-96 Cal State Fullerton Titans Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Cal State Fullerton,Cal_State_Fullerton.xls
sportsref_download (19).xls,1995-96 Cal State Northridge Matadors Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Cal State Northridge,Cal_State_Northridge.xls
